Designator,Footprint,Quantity,Value,LCSC Part #
"_4, _3, _2, ",,4,,
BAT+1,TestPoint_Pad_D3.0mm,1,BAT+,
BAT-1,TestPoint_Pad_D3.0mm,1,BAT-,
"C1, C10, C16, C2, C20, C24, C26, C27, C28, C29, C3, C30, C31, C32, C5, C6, C7, C8",1206,18,100n,
"C11, C12, C13, C14",1206,4,470n,
"C15, C9",CP_EIA-7360-38_Kemet-E,2,100u,
"C17, C18",1206,2,10uf,
"C19, C21, C22",1206,3,22uf,
C23,0805,1,22uf,
C25,CP_EIA-7360-38_Kemet-E,1,47uf,
C4,CP_EIA-7360-38_Kemet-E,1,100uf,
D1,0805,1,25%,
D2,0805,1,50%,
D3,0805,1,75%,
D4,0805,1,100%,
Encoder1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch,
J1,HRS_ZX62D-B-5P8,1,ZX62D-B-5P8,
J2,Jack_3.5mm_PJ320D_Horizontal,1,MiniJack,
J3,TFP09212B,1,SD Card,
JP1,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,jumper,
L1,L_7.3x7.3_H3.5,1,1UH,
Q1,SOT-23,1,BC807,
"Q2, Q3",SOT-23,2,BC817,
"R1, R20, R3",1206,3,1K,
"R10, R11, R15, R16, R18, R2, R26, R27, R34, R35, R36, R37, R38, R39, R40, R7",1206,16,10K,
"R12, R14, R17, R4, R5, R9",1206,6,4.7K,
"R13, R8",1206,2,510,
R19,1206,1,0,
"R21, R22, R28, R30",1206,4,470,
R23,0805,1,0.1R,
R24,0805,1,R50,
R25,0805,1,10K,
"R29, R31",1206,2,220,
"R32, R33",1206,2,5.6K,
R6,1206,1,100K,
S2,SW_Push_1P1T_NO_6x6mm_H9.5mm,1,DOWN,
S4,SW_Push_1P1T_NO_6x6mm_H9.5mm,1,UP,
S6,SW_EG1213,1,EG1213,
SW1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,SW_Push,
SW2,SW_SPST_B3U-1000P,1,EN,
SW3,SW_SPST_B3U-1000P,1,BOOT,
TFT1,ST7789,1,ST7789,
"U1, U2",DIP-40_W15.24mm_Socket,2,AY-3-8910,
U3,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340G,
U4,ESP32-WROOM-32,1,ESP32-WROOM-32,
U5,QFN50P400X400X80-21N,1,TPA6130A2RTJTG4,TPA6130A2RTJTG4
U6,HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm,1,SM5308,
U7,SOT-223-3_TabPin2,1,AMS1117-3.3,
"U8, U9",SO-16_5.3x10.2mm_P1.27mm,2,74HC595,
Y3,OSC_CSTCE16M0V53-R0,1,12MHz,
